negara,provinsi,tanggal,terkonfirmasi,meninggal,sembuh,aktif
Russia,Mordovia Republic,2021-01-05,13925,97,11523,2305
Russia,Moscow,2021-01-05,833412,11582,659076,162754
Russia,Moscow Oblast,2021-01-05,162382,2985,119252,40145
Russia,Murmansk Oblast,2021-01-05,37358,670,33745,2943
Russia,Nenets Autonomous Okrug,2021-01-05,807,0,704,103
Russia,Nizhny Novgorod Oblast,2021-01-05,72190,1728,64472,5990
Russia,North Ossetia - Alania Republic,2021-01-05,12436,101,11027,1308
Russia,Novgorod Oblast,2021-01-05,19335,99,14152,5084
Russia,Novosibirsk Oblast,2021-01-05,28629,1008,24898,2723
Russia,Omsk Oblast,2021-01-05,31392,909,28451,2032
Russia,Orel Oblast,2021-01-05,22234,280,19887,2067
Russia,Orenburg Oblast,2021-01-05,29642,362,26048,3232
Russia,Penza Oblast,2021-01-05,27046,331,21738,4977
Russia,Perm Krai,2021-01-05,32208,1183,25596,5429
Russia,Primorsky Krai,2021-01-05,30451,395,21839,8217
Russia,Pskov Oblast,2021-01-05,24513,102,12769,11642
Russia,Rostov Oblast,2021-01-05,53603,2147,43811,7645
Russia,Ryazan Oblast,2021-01-05,18833,173,17157,1503
Russia,Saint Petersburg,2021-01-05,260656,8077,156711,95868
Russia,Sakha (Yakutiya) Republic,2021-01-05,27091,400,24602,2089
Russia,Sakhalin Oblast,2021-01-05,16457,17,13853,2587
Russia,Samara Oblast,2021-01-05,32897,652,30289,1956
Russia,Saratov Oblast,2021-01-05,36668,431,31274,4963
Russia,Smolensk Oblast,2021-01-05,17851,345,14000,3506
Russia,Stavropol Krai,2021-01-05,36303,768,32589,2946
Russia,Sverdlovsk Oblast,2021-01-05,60584,1596,52949,6039
Russia,Tambov Oblast,2021-01-05,18452,197,16253,2002
Russia,Tatarstan Republic,2021-01-05,13728,200,10821,2707
Russia,Tomsk Oblast,2021-01-05,25211,222,21070,3919
Russia,Tula Oblast,2021-01-05,23865,796,20991,2078
Russia,Tver Oblast,2021-01-05,23416,462,18484,4470
Russia,Tyumen Oblast,2021-01-05,24147,207,22704,1236
Russia,Tyva Republic,2021-01-05,14866,157,13696,1013
Russia,Udmurt Republic,2021-01-05,20727,404,17053,3270
Russia,Ulyanovsk Oblast,2021-01-05,37656,474,34372,2810
Russia,Vladimir Oblast,2021-01-05,19431,530,17261,1640
Russia,Volgograd Oblast,2021-01-05,36738,484,34850,1404
Russia,Vologda Oblast,2021-01-05,25019,454,20350,4215
Russia,Voronezh Oblast,2021-01-05,48147,1214,44350,2583
Russia,Yamalo-Nenets Autonomous Okrug,2021-01-05,32916,343,25934,6639
Russia,Yaroslavl Oblast,2021-01-05,23239,211,21796,1232
Russia,Zabaykalsky Krai,2021-01-05,28436,386,26327,1723
Russia,Adygea Republic,2021-01-06,11497,95,9454,1948
Russia,Altai Krai,2021-01-06,34162,934,31552,1676
Russia,Altai Republic,2021-01-06,14066,108,13218,740
Russia,Amur Oblast,2021-01-06,16660,105,14872,1683
Russia,Arkhangelsk Oblast,2021-01-06,44998,448,36320,8230
Russia,Astrakhan Oblast,2021-01-06,20045,409,13134,6502
Russia,Bashkortostan Republic,2021-01-06,20077,150,15294,4633
Russia,Belgorod Oblast,2021-01-06,22951,274,20575,2102
Russia,Bryansk Oblast,2021-01-06,24341,218,21972,2151
Russia,Buryatia Republic,2021-01-06,26675,606,24055,2014
Russia,Chechen Republic,2021-01-06,9304,95,5412,3797
